Ticker,Name,wiki_code
DGE,DIAGEO PLC,Q161140
DIA,DIALIGHT PLC,unknown
DLAR,DE LA RUE PLC,Q699810
DLG,DIRECT LINE INSURANCE GROUP,Q5280285
DNLM,DUNELM GROUP PLC,Q5315020
DOM,DOMINO'S PIZZA GROUP PLC,unknown
DOTD,DOTDIGITAL GROUP PLC,unknown
DPLM,DIPLOMA PLC,unknown
DRX,DRAX GROUP PLC,Q1256028
DSCV,DISCOVERIE GROUP PLC,unknown
DSG,DILLISTONE GROUP PLC,unknown
DUKE,DUKE CAPITAL LTD,unknown
DWHA,DEWHURST PLC  -CL  A  NV,unknown
DWHT,DEWHURST GROUP PLC,unknown
EAAS,EENERGY GROUP PLC,unknown
EAH,ECO ANIMAL HEALTH GROUP PLC,unknown
EBQ,EBIQUITY PLC,unknown
ECK,ECKOH PLC,unknown
ECOR,ECORA RESOURCES PLC,unknown
EDEN,EDEN RESEARCH PLC,unknown
EEE,EMPIRE METALS LTD,unknown
EKF,EKF DIAGNOSTICS HOLDINGS PLC,unknown
ELCO,ELECO PLC,unknown
ELM,ELEMENTIS PLC,Q5358919
EMG,MAN GROUP PLC/JERSEY,unknown
EMR,EMPRESARIA GROUP PLC,unknown
ENQ,ENQUEST PLC,unknown
ENT,ENTAIN PLC,Q25103691
EQT,EQTEC PLC,unknown
ESNT,ESSENTRA PLC,Q5449280
ETL,EUTELSAT COMMUNICATIONS,unknown
EUZ,EUROPA METALS LTD,unknown
EXPN,EXPERIAN PLC,Q692157
EZJ,EASYJET PLC,unknown
FDBK,FEEDBACK PLC,unknown
FDP,FD TECHNOLOGIES PLC,unknown
FEN,FRENKEL TOPPING GROUP PLC,unknown
FERG,FERGUSON ENTERPRISES INC,unknown
FGP,FIRSTGROUP PLC,unknown
FIH,FIH GROUP PLC,unknown
FIPP,FRONTIER IP GROUP PLC,unknown
FKE,FISKE PLC,unknown
FLK,FLETCHER KING PLC,unknown
FLTR,FLUTTER ENTERTAINMENT PLC-DI,unknown
FOUR,4IMPRINT GROUP PLC,Q115167270
FPO,FIRST PROPERTY GROUP PLC,unknown
FRES,FRESNILLO PLC,Q3087545
FSJ,JAMES FISHER & SONS PLC,Q6133908
